id,name,,,x
1,Abilene Chr,,4,Alabama A&M Bulldogs
2,Air Force,,5,Alabama Crimson Tide
3,Akron,,6,Alabama State Hornets
5,Alabama,,7,Alabama-Birmingham Blazers
4,Alabama A&M,,8,Albany (NY) Great Danes
6,Alabama St,,9,Alcorn State Braves
8,Albany NY,,10,Allegheny Gators
9,Alcorn St,,11,Alliant International Gulls
12,American Univ,,12,American Eagles
14,Appalachian St,,13,Amherst Lord Jeffs
16,Arizona,,14,Appalachian State Mountaineers
15,Arizona St,,17,Arkansas Razorbacks
19,Ark Little Rock,,18,Arkansas State Red Wolves
20,Ark Pine Bluff,,19,Arkansas-Little Rock Trojans
17,Arkansas,,20,Arkansas-Pine Bluff Golden Lions
18,Arkansas St,,21,Armstrong Pirates
22,Army,,22,Army Black Knights
23,Auburn,,23,Auburn Tigers
26,Austin Peay,,24,Augusta State Jaguars
28,Ball St,,25,Augustana (IL) Vikings
31,Baylor,,26,Austin Peay Governors
32,Belmont,,51,Cal Poly Mustangs
34,Bethune-Cookman,,52,Cal State Bakersfield Roadrunners
35,Binghamton,,53,Cal State Fullerton Titans
36,Birmingham So,,54,Cal State Los Angeles Golden Eagles
38,Boise St,,55,Cal State Northridge Matadors
39,Boston College,,56,California Golden Bears
40,Boston Univ,,57,California-Davis Aggies
41,Bowling Green,,58,California-Irvine Anteaters
42,Bradley,,59,California-Riverside Highlanders
46,Brown,,60,California-Santa Barbara Gauchos
47,Bryant,,61,Campbell Fighting Camels
48,Bucknell,,62,Canisius Golden Griffins
49,Buffalo,,63,Carleton College Knights
50,Butler,,64,Carnegie Mellon Tartans
44,BYU,,65,Case Western Reserve Spartans
71,C Michigan,,66,Catholic Cardinals
51,Cal Poly SLO,,67,Centenary (LA) Gents
56,California,,68,Central Arkansas Bears
61,Campbell,,69,Central Connecticut State Blue Devils
62,Canisius,,70,Central Florida Knights
68,Cent Arkansas,,71,Central Michigan Chippewas
67,Centenary,,72,Central Missouri Mules
69,Central Conn,,73,Central Normal College 
76,Charleston So,,74,Central Pennsylvania College Knights
77,Charlotte,,75,Centre (KY) Colonels
78,Chattanooga,,76,Charleston Southern Buccaneers
81,Chicago St,,77,Charlotte 49ers
82,Cincinnati,,92,Colorado College Tigers
83,Citadel,,93,Colorado School of Mines Orediggers
85,Clemson,,94,Colorado State Rams
86,Cleveland St,,95,Columbia Lions
87,Coastal Car,,96,Concordia Seminary Preachers
89,Col Charleston,,97,Connecticut Huskies
88,Colgate,,98,Coppin State Eagles
91,Colorado,,99,Cornell Big Red
94,Colorado St,,100,Cotner University 
95,Columbia,,101,Creighton Bluejays
97,Connecticut,,102,Cumberland University Bulldogs
98,Coppin St,,103,Dakota Wesleyan Tigers
99,Cornell,,104,Dartmouth Big Green
101,Creighton,,105,Davidson Wildcats
52,CS Bakersfield,,106,Dayton Flyers
53,CS Fullerton,,107,Delaware Fightin' Blue Hens
55,CS Northridge,,108,Delaware State Hornets
345,CS Sacramento,,109,Denison Big Red
104,Dartmouth,,110,Denver Pioneers
105,Davidson,,111,DePaul Blue Demons
106,Dayton,,112,DePauw Tigers
107,Delaware,,113,Detroit Mercy Titans
108,Delaware St,,114,Dickinson College Red Devils
110,Denver,,115,Drake Bulldogs
111,DePaul,,116,Drexel Dragons
113,Detroit,,117,Duke Blue Devils
115,Drake,,118,Duquesne Dukes
116,Drexel,,119,East Carolina Pirates
117,Duke,,120,East Central Tigers
118,Duquesne,,121,East Tennessee State Buccaneers
122,E Illinois,,122,Eastern Illinois Panthers
123,E Kentucky,,123,Eastern Kentucky Colonels
124,E Michigan,,124,Eastern Michigan Eagles
125,E Washington,,125,Eastern Washington Eagles
126,East Carolina,,126,Elon Phoenix
377,Edwardsville,,127,Emporia State Hornets
126,Elon,,128,Evansville Purple Aces
121,ETSU,,129,Fairfield Stags
128,Evansville,,130,Fairleigh Dickinson Knights
130,F Dickinson,,131,Florida A&M Rattlers
129,Fairfield,,132,Florida Atlantic Owls
132,FL Atlantic,,133,Florida Gators
134,FL Gulf Coast,,134,Florida Gulf Coast Eagles
133,Florida,,135,Florida International Panthers
131,Florida A&M,,136,Florida State Seminoles
135,Florida Intl,,137,Fordham Rams
136,Florida St,,138,Franklin Grizzlies
137,Fordham,,139,Fresno State Bulldogs
139,Fresno St,,140,Furman Paladins
140,Furman,,141,Gardner-Webb Runnin' Bulldogs
