,lo_win,year,hiteam,loteam,hiRPI,loRPI,hiSOS,loSOS
1,1,2004,644,593,0.4717,0.4499,0.422,0.4436
2,1,2004,749,504,0.5864,0.611,0.5041,0.6127
3,1,2004,828,559,0.5147,0.6463,0.4497,0.5797
4,0,2004,573,569,0.5828,0.5709,0.5478,0.5188
5,0,2004,577,506,0.6536,0.4626,0.5922,0.4448
6,1,2004,826,607,0.5029,0.61,0.4817,0.5122
7,0,2004,658,592,0.5723,0.6084,0.4942,0.5962
8,1,2004,824,662,0.5667,0.6079,0.5111,0.6022
9,0,2004,699,671,0.595,0.576,0.551,0.5681
10,0,2004,708,502,0.6087,0.5433,0.6005,0.4715
11,0,2004,764,511,0.5995,0.4798,0.5771,0.4603
12,0,2004,779,645,0.6455,0.4893,0.5482,0.4753
13,1,2004,820,783,0.4756,0.6128,0.4503,0.5045
14,0,2004,786,536,0.6158,0.5795,0.5738,0.5465
15,0,2004,793,736,0.6189,0.5121,0.5726,0.4483
16,0,2004,796,546,0.5925,0.5798,0.5645,0.5398
17,0,2004,839,825,0.6128,0.5545,0.5912,0.492
18,1,2004,821,527,0.5737,0.6024,0.5253,0.5679
19,1,2004,586,549,0.5519,0.6176,0.4692,0.563
20,1,2004,714,606,0.5514,0.6279,0.513,0.5915
21,1,2004,687,623,0.5531,0.6074,0.4687,0.5473
22,0,2004,636,622,0.6179,0.5357,0.5843,0.4643
23,0,2004,640,593,0.6388,0.4499,0.5704,0.4436
24,1,2004,769,666,0.5687,0.5906,0.5328,0.543
25,1,2004,679,675,0.5186,0.6265,0.4793,0.5465
26,1,2004,811,695,0.4978,0.6074,0.4587,0.584
27,0,2004,722,582,0.637,0.5082,0.5552,0.4937
28,1,2004,737,727,0.6017,0.555,0.5724,0.49
29,1,2004,809,731,0.5481,0.6338,0.4641,0.5593
30,1,2004,840,805,0.5508,0.592,0.53,0.5601
31,1,2004,836,827,0.5682,0.6021,0.4781,0.5704
32,0,2004,849,743,0.6139,0.5657,0.5581,0.5522
33,0,2004,853,651,0.595,0.5937,0.5591,0.5694
34,1,2004,783,504,0.6128,0.611,0.5045,0.6127
35,1,2004,573,559,0.5828,0.6463,0.5478,0.5797
36,1,2004,764,577,0.5995,0.6536,0.5771,0.5922
37,0,2004,699,607,0.595,0.61,0.551,0.5122
38,1,2004,796,779,0.5925,0.6455,0.5645,0.5482
39,0,2004,786,662,0.6158,0.6079,0.5738,0.6022
40,0,2004,793,708,0.6189,0.6087,0.5726,0.6005
41,0,2004,839,658,0.6128,0.5723,0.5912,0.4942
42,0,2004,606,527,0.6279,0.6024,0.5915,0.5679
43,0,2004,623,549,0.6074,0.6176,0.5473,0.563
44,1,2004,727,636,0.555,0.6179,0.49,0.5843
45,0,2004,722,666,0.637,0.5906,0.5552,0.543
46,1,2004,849,731,0.6139,0.6338,0.5581,0.5593
47,0,2004,805,640,0.592,0.6388,0.5601,0.5704
48,0,2004,827,695,0.6021,0.6074,0.5704,0.584
49,0,2004,853,675,0.595,0.6265,0.5591,0.5465
50,1,2004,786,504,0.6158,0.611,0.5738,0.6127
51,1,2004,827,559,0.6021,0.6463,0.5704,0.5797
52,1,2004,731,722,0.6338,0.637,0.5593,0.5552
53,1,2004,839,779,0.6128,0.6455,0.5912,0.5482
54,1,2004,623,577,0.6074,0.6536,0.5473,0.5922
55,1,2004,699,606,0.595,0.6279,0.551,0.5915
56,1,2004,805,636,0.592,0.6179,0.5601,0.5843
57,0,2004,853,793,0.595,0.6189,0.5591,0.5726
58,0,2004,559,504,0.6463,0.611,0.5797,0.6127
59,1,2004,779,722,0.6455,0.637,0.5482,0.5552
60,1,2004,853,577,0.595,0.6536,0.5591,0.5922
61,1,2004,636,606,0.6179,0.6279,0.5843,0.5915
62,1,2004,577,559,0.6536,0.6463,0.5922,0.5797
63,1,2004,722,606,0.637,0.6279,0.5552,0.5915
64,1,2004,606,559,0.6279,0.6463,0.5915,0.5797
65,0,2005,718,505,0.4891,0.4728,0.5126,0.4298
66,1,2005,822,511,0.6015,0.5634,0.4883,0.5282
67,1,2005,728,527,0.6033,0.6467,0.5015,0.5455
68,1,2005,628,549,0.5763,0.6199,0.538,0.5392
69,1,2005,848,607,0.6117,0.6614,0.4481,0.537
70,0,2005,623,588,0.706,0.52,0.5514,0.4619
71,0,2005,640,580,0.6477,0.5745,0.5537,0.4631
72,1,2005,793,699,0.5659,0.6109,0.5358,0.5086
73,0,2005,721,704,0.6201,0.5746,0.5446,0.4728
74,1,2005,731,727,0.5833,0.6463,0.5311,0.4976
75,1,2005,810,796,0.5632,0.5926,0.5417,0.5494
76,0,2005,805,655,0.5907,0.5922,0.522,0.5426
77,1,2005,824,821,0.5966,0.6425,0.4955,0.5127
78,0,2005,839,547,0.6621,0.5431,0.5548,0.4804
79,0,2005,840,680,0.6683,0.5197,0.5567,0.472
80,0,2005,843,562,0.6016,0.5806,0.5389,0.5191
81,0,2005,845,504,0.6295,0.6209,0.483,0.5434
82,1,2005,636,533,0.6494,0.6018,0.5903,0.5041
83,1,2005,809,559,0.5757,0.6086,0.476,0.5558
84,0,2005,577,571,0.6647,0.5395,0.5735,0.487
85,1,2005,719,592,0.5889,0.6194,0.5205,0.5509
86,0,2005,606,599,0.5946,0.5911,0.5667,0.4925
87,1,2005,673,629,0.5687,0.5646,0.5336,0.5303
88,1,2005,811,651,0.4196,0.6634,0.5105,0.5488
89,1,2005,723,671,0.6278,0.6471,0.4822,0.5509
90,1,2005,783,675,0.5603,0.5962,0.5514,0.5324
91,0,2005,695,546,0.5691,0.5954,0.5486,0.5089
92,1,2005,718,708,0.4891,0.6929,0.5126,0.5571
93,1,2005,761,722,0.5717,0.6547,0.4529,0.5773
94,1,2005,781,749,0.6052,0.6436,0.5177,0.5339
95,0,2005,828,786,0.6452,0.6206,0.5086,0.5279
96,0,2005,829,701,0.6379,0.5941,0.5679,0.4579
97,0,2005,849,714,0.6398,0.5827,0.5637,0.5301
98,1,2005,805,511,0.5907,0.5634,0.522,0.5282
99,1,2005,699,623,0.6109,0.706,0.5086,0.5514
100,0,2005,640,549,0.6477,0.6199,0.5537,0.5392
101,0,2005,796,607,0.5926,0.6614,0.5494,0.537
102,0,2005,821,721,0.6425,0.6201,0.5127,0.5446
103,0,2005,840,727,0.6683,0.6463,0.5567,0.4976
104,0,2005,843,839,0.6016,0.6621,0.5389,0.5548
105,0,2005,845,527,0.6295,0.6467,0.483,0.5455
106,1,2005,675,577,0.5962,0.6647,0.5324,0.5735
107,0,2005,651,606,0.6634,0.5946,0.5488,0.5667
108,1,2005,828,671,0.6452,0.6471,0.5086,0.5509
109,0,2005,695,559,0.5691,0.6086,0.5486,0.5558
110,0,2005,708,629,0.6929,0.5646,0.5571,0.5303
111,1,2005,749,722,0.6436,0.6547,0.5339,0.5773
112,0,2005,829,592,0.6379,0.6194,0.5679,0.5509
113,0,2005,849,533,0.6398,0.6018,0.5637,0.5041
114,1,2005,722,511,0.6547,0.5634,0.5773,0.5282
115,1,2005,845,623,0.6295,0.706,0.483,0.5514
116,1,2005,840,651,0.6683,0.6634,0.5567,0.5488
117,0,2005,843,796,0.6016,0.5926,0.5389,0.5494
118,1,2005,821,640,0.6425,0.6477,0.5127,0.5537
119,0,2005,671,577,0.6471,0.6647,0.5509,0.5735
120,1,2005,829,708,0.6379,0.6929,0.5679,0.5571
121,0,2005,849,695,0.6398,0.5691,0.5637,0.5486
122,0,2005,623,511,0.706,0.5634,0.5514,0.5282
123,1,2005,843,651,0.6016,0.6634,0.5389,0.5488
124,0,2005,671,640,0.6471,0.6477,0.5509,0.5537
125,1,2005,849,708,0.6398,0.6929,0.5637,0.5571
126,1,2005,651,623,0.6634,0.706,0.5488,0.5514
127,0,2005,708,671,0.6929,0.6471,0.5571,0.5509
128,0,2005,708,623,0.6929,0.706,0.5571,0.5514
129,0,2006,679,610,0.513,0.428,0.4805,0.4006
130,1,2006,660,504,0.5977,0.5748,0.5775,0.5869
131,1,2006,727,527,0.5455,0.6046,0.472,0.5436
132,1,2006,773,577,0.5164,0.6841,0.4565,0.6068
133,1,2006,768,592,0.564,0.6124,0.4819,0.5455
134,1,2006,816,599,0.5982,0.5918,0.5229,0.4766
135,1,2006,853,607,0.5547,0.6222,0.5216,0.5286
136,0,2006,623,502,0.6187,0.5791,0.5556,0.4972
137,1,2006,754,625,0.5752,0.5947,0.5194,0.581
138,0,2006,655,627,0.6216,0.568,0.585,0.5011
139,1,2006,699,680,0.6095,0.5684,0.5256,0.4852
140,1,2006,848,790,0.5577,0.6318,0.4809,0.5978
141,0,2006,794,786,0.5847,0.6128,0.5449,0.6048
142,0,2006,810,522,0.6293,0.5271,0.5719,0.4654
143,0,2006,840,822,0.5922,0.5815,0.5303,0.524
144,0,2006,845,721,0.5774,0.6088,0.5226,0.5744
145,0,2006,846,764,0.6064,0.5725,0.553,0.566
146,1,2006,849,511,0.6,0.4694,0.5923,0.4781
147,1,2006,636,530,0.5995,0.5951,0.5582,0.5578
148,0,2006,533,515,0.5866,0.587,0.4877,0.5442
149,0,2006,559,507,0.6512,0.5228,0.5627,0.4616
150,1,2006,671,602,0.602,0.5984,0.5917,0.5317
151,1,2006,714,603,0.5965,0.592,0.5644,0.548
152,1,2006,805,640,0.5943,0.5852,0.5178,0.5819
153,1,2006,724,666,0.5146,0.6535,0.4674,0.5683
154,0,2006,695,539,0.579,0.5764,0.5471,0.5496
155,0,2006,708,687,0.6222,0.5676,0.5898,0.4812
156,0,2006,716,628,0.5684,0.6352,0.4831,0.5775
157,0,2006,720,568,0.64,0.541,0.5755,0.4959
158,0,2006,731,639,0.623,0.5804,0.5693,0.5182
159,0,2006,793,728,0.6257,0.539,0.5671,0.492
160,0,2006,829,679,0.6662,0.513,0.5981,0.4805
161,0,2006,843,749,0.5932,0.5954,0.5764,0.5527
162,1,2006,680,527,0.5684,0.6046,0.4852,0.5436
163,1,2006,599,577,0.5918,0.6841,0.4766,0.6068
164,1,2006,845,592,0.5774,0.6124,0.5226,0.5455
165,1,2006,625,607,0.5947,0.6222,0.581,0.5286
166,1,2006,794,655,0.5847,0.6216,0.5449,0.585
