"","wteam","season","wscore","num_wins","avg_margin_victory","lscore","num_loss","avg_margin_loss","avg_score","close_win"
"1","Air Force","A",167,2,7.5,1399,22,-12.3181818181818,65.25,0.142857142857143
"2","Air Force","B",339,4,17.25,1134,18,-11.2777777777778,66.9545454545455,0.2
"3","Air Force","C",375,5,11,943,16,-14.0625,62.7619047619048,0.333333333333333
"4","Air Force","D",591,7,11.5714285714286,1130,16,-14.4375,74.8260869565217,0.285714285714286
"5","Air Force","E",446,6,7.66666666666667,1283,20,-12.25,66.5,0.375
"6","Air Force","F",488,8,8.5,1179,21,-10.9047619047619,57.4827586206897,0.4
"7","Air Force","G",568,9,6.88888888888889,1037,19,-9.42105263157895,57.3214285714286,0.384615384615385
"8","Air Force","H",825,12,15.5833333333333,778,16,-11.25,57.25,0.375
"9","Air Force","I",1404,22,15.1363636363636,281,6,-10,60.1785714285714,0.75
"10","Air Force","J",1097,17,16.0588235294118,679,12,-8,61.2413793103448,0.4
"11","Air Force","K",1430,22,13.0454545454545,348,6,-6.16666666666667,63.5,0.636363636363636
"12","Air Force","L",1591,22,19.2272727272727,464,8,-9.375,68.5,0.555555555555556
"13","Air Force","M",886,14,12.0714285714286,726,14,-11.5714285714286,57.5714285714286,0.714285714285714
"14","Air Force","N",553,8,15.125,1112,21,-12.5238095238095,57.4137931034483,0.125
"15","Air Force","O",551,8,13.375,1062,21,-15.2380952380952,55.6206896551724,0.25
"16","Air Force","P",994,14,11.4285714285714,805,14,-12.5,64.25,0.625
"17","Air Force","Q",711,11,11,927,16,-11.9375,60.6666666666667,0.444444444444444
"18","Air Force","R",1121,15,13.1333333333333,809,13,-14.0769230769231,68.9285714285714,0.428571428571429
"19","Akron","A",149,2,14.5,1400,23,-16.1304347826087,61.96,0.142857142857143
"20","Akron","B",580,7,17,1181,18,-9.61111111111111,70.44,0.2
"21","Akron","C",1206,16,15.3125,734,10,-8.3,74.6153846153846,0.375
"22","Akron","D",1324,17,12.1764705882353,625,9,-11.3333333333333,74.9615384615385,0.714285714285714
"23","Akron","E",1278,16,10.4375,743,11,-10,74.8518518518518,0.6
"24","Akron","F",906,12,9.33333333333333,995,16,-15.3125,67.8928571428571,0.8
"25","Akron","G",748,9,8.11111111111111,1330,21,-10.9047619047619,69.2666666666667,0.4
"26","Akron","H",1141,13,9.38461538461539,986,14,-7.5,78.7777777777778,0.461538461538462
"27","Akron","I",973,13,9.76923076923077,1036,15,-9.2,71.75,0.4
"28","Akron","J",1358,18,12.8888888888889,647,10,-8.2,71.6071428571429,0.555555555555556
"29","Akron","K",1544,21,12.6666666666667,600,9,-11.7777777777778,71.4666666666667,0.571428571428571
"30","Akron","L",1907,25,17.2,481,7,-3,74.625,0.363636363636364
"31","Akron","M",1707,23,14.1304347826087,644,10,-7.9,71.2424242424242,0.538461538461538
"32","Akron","N",1534,22,14.0454545454545,724,12,-9,66.4117647058823,0.3
"33","Akron","O",1714,23,11.3478260869565,630,10,-11,71.030303030303,0.692307692307692
"34","Akron","P",1625,22,12.0454545454545,754,12,-11.75,69.9705882352941,0.714285714285714
"35","Akron","Q",1577,21,13.8571428571429,710,11,-9.45454545454546,71.46875,0.461538461538462
"36","Akron","R",1830,25,13.96,400,6,-8.16666666666667,71.9354838709677,0.666666666666667
"37","Alabama","B",1278,17,17.2941176470588,888,14,-9.57142857142857,69.8709677419355,0.545454545454545
"38","Alabama","C",1121,15,12.7333333333333,968,15,-10.2,69.6333333333333,0.363636363636364
"39","Alabama","D",1226,17,12.1176470588235,861,14,-15.7142857142857,67.3225806451613,0.545454545454545
"40","Alabama","E",1056,13,15.6923076923077,1038,16,-13.0625,72.2068965517241,0.5
"41","Alabama","F",1713,21,19.0952380952381,665,10,-13.8,76.7096774193548,0.428571428571429
"42","Alabama","G",2098,26,15.9230769230769,416,7,-12.1428571428571,76.1818181818182,0.818181818181818
"43","Alabama","H",1270,17,13.1764705882353,670,11,-9.45454545454546,69.2857142857143,0.444444444444444
"44","Alabama","I",1298,17,13.4705882352941,796,12,-7.58333333333333,72.2068965517241,0.538461538461538
"45","Alabama","J",1823,23,17.1739130434783,440,7,-11,75.4333333333333,0.666666666666667
"46","Alabama","K",1269,17,11.1176470588235,760,12,-8.91666666666667,69.9655172413793,0.833333333333333
"47","Alabama","L",1536,20,15.15,746,11,-14.0909090909091,73.6129032258064,0.571428571428571
"48","Alabama","M",1383,17,12.2352941176471,1101,16,-8,75.2727272727273,0.4
