"season","lowerid","upperid","pred"
"A",511,515,0.724395933783868
"A",511,519,0.832366095099357
"A",511,527,0.672038172380495
"A",511,530,0.606600457820121
"A",511,539,0.690640306600227
"A",511,541,0.772029640301445
"A",511,549,0.402968934852966
"A",511,551,0.644462292169406
"A",511,555,0.889752821403771
"A",511,559,0.255142776399058
"A",511,576,0.593509172451835
"A",511,577,0.657901662524788
"A",511,581,0.586530785526317
"A",511,599,0.594076239808223
"A",511,603,0.465041618360298
"A",511,604,0.628069238347894
"A",511,606,0.511178563953453
"A",511,625,0.637185196706965
"A",511,628,0.547632135794898
"A",511,629,0.551989328890672
"A",511,636,0.421535727678533
"A",511,637,0.716860961080377
"A",511,640,0.251052089037708
"A",511,651,0.610529037853489
"A",511,660,0.55879801973633
"A",511,662,0.65233803806685
"A",511,663,0.189680843775591
"A",511,666,0.526221643207745
"A",511,670,0.634666625260728
"A",511,675,0.54954954342523
"A",511,679,0.750259042454967
"A",511,681,0.747335414666925
"A",511,685,0.829537940700903
"A",511,690,0.802073846494997
"A",511,701,0.545003168011098
"A",511,703,0.717145980434165
"A",511,708,0.574982985571275
"A",511,721,0.704867269175009
"A",511,729,0.508350932743754
"A",511,732,0.789921736284425
"A",511,736,0.708810369081145
"A",511,738,0.414392680186093
"A",511,747,0.856592465283089
"A",511,756,0.932239118619068
"A",511,758,0.6714540624344
"A",511,783,0.636201969057043
"A",511,786,0.511275637014695
"A",511,789,0.618695711503196
"A",511,793,0.673507462778799
"A",511,796,0.31524658775752
"A",511,802,0.647338422069251
"A",511,809,0.959608782396451
"A",511,810,0.531686088151887
"A",511,812,0.8895546500511
"A",511,815,0.818912484491299
"A",511,821,0.534902353046374
"A",511,825,0.735516902879301
"A",511,826,0.846868591434088
"A",511,829,0.401633579513446
"A",511,831,0.53697787942835
"A",511,833,0.887430578002009
"A",511,839,0.403971295048713
"A",511,844,0.459825578996092
"A",515,519,0.645087773305955
"A",515,527,0.441083022625827
"A",515,530,0.373249417266737
"A",515,539,0.459069524386377
"A",515,541,0.558876653266859
"A",515,549,0.201739774403964
"A",515,551,0.41143487048997
"A",515,555,0.737449861198539
"A",515,559,0.106543110336325
"A",515,576,0.363377083333468
"A",515,577,0.424385501663536
"A",515,581,0.354794647236189
"A",515,599,0.3608081294939
"A",515,603,0.247592872245107
"A",515,604,0.394361464165949
"A",515,606,0.284353189352794
"A",515,625,0.40327493355686
"A",515,628,0.317614592173741
"A",515,629,0.320999049049727
"A",515,636,0.214820685544977
"A",515,637,0.490327340227704
"A",515,640,0.103059475662842
"A",515,651,0.375537569111771
"A",515,660,0.327949466861121
"A",515,662,0.420247086390499
"A",515,663,0.0711921677095434
"A",515,666,0.298957931995941
"A",515,670,0.399620701866063
"A",515,675,0.317487204805487
"A",515,679,0.532305579693602
"A",515,681,0.530544926770169
"A",515,685,0.640828517341097
"A",515,690,0.601356881976287
"A",515,701,0.317273041607493
"A",515,703,0.492466221954271
"A",515,708,0.341774993909866
"A",515,721,0.476900077639208
"A",515,729,0.283921078268196
"A",515,732,0.583652971249078
"A",515,736,0.484257716408479
"A",515,738,0.209479097413939
"A",515,747,0.681862332848985
"A",515,756,0.815420108878087
"A",515,758,0.439489345296188
"A",515,783,0.401779008367351
"A",515,786,0.285521111951263
"A",515,789,0.384524146209743
"A",515,793,0.44257346774152
"A",515,796,0.143480326181892
"A",515,802,0.414575463572927
"A",515,809,0.875604841098888
"A",515,810,0.303425513922241
"A",515,812,0.736796217681075
"A",515,815,0.625157365503416
"A",515,821,0.306617402421255
"A",515,825,0.513025487821767
"A",515,826,0.667188880995565
"A",515,829,0.200251756559415
"A",515,831,0.310807275194065
"A",515,833,0.733122478126008
"A",515,839,0.201791722776624
"A",515,844,0.246908933788492
"A",519,527,0.302831727514182
"A",519,530,0.243336575999997
"A",519,539,0.317556936043146
"A",519,541,0.411133898016258
"A",519,549,0.114860409778504
"A",519,551,0.27628713207243
"A",519,555,0.603887274903465
"A",519,559,0.0545302273134326
"A",519,576,0.236680703679851
"A",519,577,0.286594788665352
"A",519,581,0.229449292842455
"A",519,599,0.233840854644147
"A",519,603,0.146731212561708
"A",519,604,0.261811428497069
"A",519,606,0.173380701457465
"A",519,625,0.269098268612848
"A",519,628,0.198889857562141
"A",519,629,0.201922919023553
"A",519,636,0.123227092518973
"A",519,637,0.345503654912927
"A",519,640,0.0523422058297231
"A",519,651,0.245856561071634
"A",519,660,0.20700426142934
"A",519,662,0.283845073241919
"A",519,663,0.0343563623528119
"A",519,666,0.18569471220387
"A",519,670,0.265364924265785
"A",519,675,0.199992763086354
"A",519,679,0.385750803906241
"A",519,681,0.384647928755642
"A",519,685,0.495706095776635
"A",519,690,0.454126688385382
"A",519,701,0.200200974407651
"A",519,703,0.347816047788697
"A",519,708,0.218038484578755
"A",519,721,0.333706361993237
"A",519,729,0.17328286948818
"A",519,732,0.435779974282516
"A",519,736,0.34119917043881
"A",519,738,0.119857735787264
"A",519,747,0.540496184396918
"A",519,756,0.699876144882237
"A",519,758,0.300028719731023
"A",519,783,0.267750343162913
"A",519,786,0.175416718067017
"A",519,789,0.252043982423805
"A",519,793,0.303061755262659
"A",519,796,0.0766921494878192
"A",519,802,0.278182292339236
"A",519,809,0.782224285619693
"A",519,810,0.187218324611595
"A",519,812,0.602478131438622
"A",519,815,0.479028501787784
"A",519,821,0.190880324822031
"A",519,825,0.366559949501015
"A",519,826,0.523534496984968
"A",519,829,0.113782323080913
"A",519,831,0.194309031016894
"A",519,833,0.599424998092401
"A",519,839,0.115033817585855
"A",519,844,0.146240310840103
"A",527,530,0.431015982975187
"A",527,539,0.518197366713507
"A",527,541,0.616169798837616
"A",527,549,0.246933086943877
"A",527,551,0.470349128718514
"A",527,555,0.781705433600242
"A",527,559,0.136141852702855
"A",527,576,0.420160720369419
"A",527,577,0.483753207627593
"A",527,581,0.411434781239457
"A",527,599,0.418194903853472
"A",527,603,0.296323951646743
"A",527,604,0.453192439569749
"A",527,606,0.337643697563116
"A",527,625,0.462203685642147
"A",527,628,0.372635600093256
"A",527,629,0.376784895002942
"A",527,636,0.261652657540913
"A",527,637,0.549444410012864
"A",527,640,0.133925526774393
"A",527,651,0.433653578792843
"A",527,660,0.38383594121714
"A",527,662,0.478989085586959
"A",527,663,0.094205042748386
"A",527,666,0.353735356623746
"A",527,670,0.458627470302913
"A",527,675,0.374328291805846
"A",527,679,0.59070929058052
"A",527,681,0.588379154697179
"A",527,685,0.693351248471022
"A",527,690,0.656979657314141
"A",527,701,0.372355722791415
"A",527,703,0.551664817486971
"A",527,708,0.398899578643054
"A",527,721,0.536549563576321
"A",527,729,0.336642117056866
"A",527,732,0.639806215537126
"A",527,736,0.542761161058798
"A",527,738,0.255294888029171
"A",527,747,0.730832508957301
"A",527,756,0.8519037389258
"A",527,758,0.499011902558358
"A",527,783,0.460231497798518
"A",527,786,0.337323296816144
"A",527,789,0.442468461255405
"A",527,793,0.501823235821595
"A",527,796,0.181207290473024
"A",527,802,0.473394342394916
"A",527,809,0.902186572511589
"A",527,810,0.357610347527434
"A",527,812,0.781570430414765
"A",527,815,0.679269977614003
"A",527,821,0.362290718615369
"A",527,825,0.572112922488276
"A",527,826,0.717489496970216
"A",527,829,0.243011534105345
"A",527,831,0.364281054204841
"A",527,833,0.77780560974066
"A",527,839,0.247998208766089
"A",527,844,0.296661589629887
"A",530,539,0.587377064447756
"A",530,541,0.681912082684383
"A",530,549,0.304025528267817
"A",530,551,0.539416186508296
"A",530,555,0.830553339683569
"A",530,559,0.178291427252421
"A",530,576,0.487673302187418
"A",530,577,0.553508224124492
"A",530,581,0.479761120607299
"A",530,599,0.487123079572637
"A",530,603,0.36000947391311
"A",530,604,0.522446198692139
"A",530,606,0.403154036619517
"A",530,625,0.531730629220341
"A",530,628,0.439991440228788
"A",530,629,0.444224864227461
"A",530,636,0.320348827551445
"A",530,637,0.618496799251934
"A",530,640,0.174411596274628
"A",530,651,0.503645993690669
"A",530,660,0.451020072362641
"A",530,662,0.548395177497443
"A",530,663,0.126034770996381
"A",530,666,0.419408305217065
"A",530,670,0.52816671482644
"A",530,675,0.441723166241408
"A",530,679,0.656743766058718
"A",530,681,0.654804407251025
"A",530,685,0.751515928108422
"A",530,690,0.719890871712102
"A",530,701,0.438470759840134
"A",530,703,0.619592729147412
"A",530,708,0.467085112091283
"A",530,721,0.605201432361147
"A",530,729,0.401148889826912
"A",530,732,0.703285902030219
"A",530,736,0.610717276249106
