"season","teams","opponents"
"A",502,692
"A",502,613
"A",502,692
"A",502,690
"A",502,519
"A",502,847
"A",502,824
"A",502,701
"A",502,536
"A",502,821
"A",502,597
"A",502,754
"A",502,852
"A",502,557
"A",502,852
"A",502,557
"A",502,613
"A",502,754
"A",502,597
"A",502,536
"A",502,821
"A",502,701
"A",502,824
"A",502,754
"A",503,541
"A",503,552
"A",503,717
"A",503,589
"A",503,690
"A",503,815
"A",503,578
"A",503,537
"A",503,581
"A",503,520
"A",503,669
"A",503,639
"A",503,719
"A",503,798
"A",503,529
"A",503,836
"A",503,581
"A",503,520
"A",503,669
"A",503,639
"A",503,719
"A",503,798
"A",503,529
"A",503,836
"A",503,537
"A",504,848
"A",504,711
"A",504,792
"A",504,667
"A",504,593
"A",504,801
"A",504,827
"A",504,518
"A",504,675
"A",504,790
"A",504,592
"A",504,772
"A",504,518
"A",504,655
"A",504,515
"A",504,674
"A",504,782
"A",504,533
"A",504,655
"A",504,769
"A",504,515
"A",504,674
"A",504,786
"A",504,604
"A",504,640
"A",504,675
"A",504,790
"A",506,547
"A",506,734
"A",506,804
"A",506,800
"A",506,608
"A",506,734
"A",506,508
"A",506,634
"A",506,838
"A",506,816
"A",506,800
"A",506,634
"A",506,819
"A",506,773
"A",506,508
"A",506,685
"A",506,632
"A",506,804
"A",506,773
"A",506,608
"A",506,685
"A",506,632
"A",506,634
"A",506,608
"A",508,552
"A",508,632
"A",508,506
"A",508,734
"A",508,685
"A",508,734
"A",508,804
"A",508,773
"A",508,681
"A",508,515
"A",508,520
"A",508,780
"A",508,681
"A",508,852
"A",508,580
"A",508,685
"A",508,608
"A",508,804
"A",508,773
"A",508,552
"A",508,608
"A",508,632
"A",508,506
"A",509,653
"A",509,838
"A",509,619
"A",509,743
"A",509,847
"A",509,583
"A",509,635
"A",509,583
"A",509,847
"A",509,743
"A",509,723
"A",509,627
"A",509,744
"A",509,641
"A",509,662
"A",509,783
"A",509,816
"A",509,825
"A",509,602
"A",509,723
"A",509,816
"A",509,825
"A",509,627
"A",509,602
"A",509,635
"A",509,583
"A",510,654
"A",510,775
"A",510,661
"A",510,598
"A",510,586
"A",510,550
"A",510,551
"A",510,606
"A",510,546
"A",510,815
"A",510,839
"A",510,625
"A",510,639
"A",510,583
"A",510,550
"A",510,568
"A",510,832
"A",510,833
"A",510,586
"A",510,600
"A",510,568
"A",510,661
"A",510,547
"A",510,832
"A",510,833
"A",510,833
"A",511,647
"A",511,515
"A",511,670
"A",511,603
"A",511,617
"A",511,680
"A",511,799
"A",511,824
"A",511,794
"A",511,746
"A",511,512
"A",511,818
"A",511,810
"A",511,726
"A",511,725
"A",511,841
"A",511,512
"A",511,549
"A",511,818
"A",511,725
"A",511,726
"A",511,841
"A",511,840
"A",511,539
"A",511,786
"A",511,539
"A",511,783
"A",511,840
"A",511,810
"A",511,783
"A",512,804
"A",512,774
"A",512,566
"A",512,713
"A",512,767
"A",512,725
"A",512,726
"A",512,840
"A",512,818
"A",512,726
"A",512,539
"A",512,722
"A",512,701
"A",512,574
"A",512,783
"A",512,539
"A",512,511
"A",512,810
"A",512,818
"A",512,841
"A",512,511
"A",512,695
"A",512,810
"A",512,725
"A",512,840
"A",512,841
"A",512,783
"A",513,751
"A",513,675
"A",513,795
"A",513,608
"A",513,516
"A",513,650
"A",513,835
"A",513,608
"A",513,650
"A",513,643
"A",513,768
"A",513,516
"A",513,633
"A",513,703
"A",513,803
"A",513,803
"A",513,811
"A",513,768
"A",513,633
"A",513,803
"A",513,633
"A",513,796
"A",513,703
"A",513,643
"A",513,835
"A",513,811
"A",513,703
"A",515,812
"A",515,693
"A",515,508
"A",515,676
"A",515,767
"A",515,791
"A",515,632
"A",515,592
"A",515,674
"A",515,675
"A",515,504
"A",515,724
"A",515,655
"A",515,769
"A",515,674
"A",515,518
"A",515,655
"A",515,769
"A",515,511
"A",515,671
"A",515,549
"A",515,518
"A",515,827
"A",515,666
"A",515,675
"A",515,640
"A",515,790
"A",515,604
"A",515,504
"A",515,640
"A",516,605
"A",516,835
"A",516,650
"A",516,643
"A",516,811
"A",516,650
"A",516,803
"A",516,768
"A",516,557
"A",516,687
"A",516,605
"A",516,676
"A",516,792
"A",516,722
"A",516,513
"A",516,811
"A",516,703
"A",516,768
"A",516,633
"A",516,513
"A",516,835
"A",516,703
"A",516,633
"A",516,803
"A",516,643
"A",516,650
"A",517,850
"A",517,642
"A",517,644
"A",517,692
"A",517,612
"A",517,679
"A",517,558
"A",517,567
"A",517,715
"A",517,776
"A",517,615
"A",517,644
"A",517,533
"A",517,561
"A",517,616
"A",517,692
"A",517,555
"A",517,854
"A",517,533
"A",517,642
"A",517,616
"A",517,692
"A",517,555
"A",517,616
"A",518,641
"A",518,635
"A",518,651
"A",518,634
"A",518,645
"A",518,521
"A",518,768
"A",518,812
"A",518,553
"A",518,850
"A",518,593
"A",518,515
"A",518,604
"A",518,655
"A",518,769
"A",518,592
"A",518,674
"A",518,827
"A",518,805
"A",518,790
"A",518,504
"A",518,674
"A",518,827
"A",518,675
"A",518,504
"A",518,515
"A",518,655
"A",518,640
"A",518,675
"A",518,675
"A",519,690
"A",519,749
"A",519,502
"A",519,792
"A",519,762
"A",519,580
"A",519,682
"A",519,752
"A",519,762
"A",519,792
"A",519,791
"A",519,682
"A",519,580
"A",519,687
"A",519,580
"A",519,791
"A",519,687
"A",519,752
"A",519,790
"A",519,676
"A",519,798
"A",519,672
"A",519,791
"A",519,687
"A",519,797
"A",519,672
"A",519,797
"A",520,508
"A",520,756
"A",520,817
"A",520,560
"A",520,719
"A",520,503
"A",520,537
"A",520,529
"A",520,669
"A",520,798
"A",520,503
"A",520,836
"A",520,537
"A",520,529
"A",520,639
"A",520,719
"A",520,670
"A",520,535
"A",520,623
"A",520,626
"A",520,798
"A",520,836
"A",520,581
"A",520,639
"A",520,581
"A",520,669
"A",520,719
"A",520,581
"A",521,734
"A",521,543
"A",521,575
"A",521,650
"A",521,794
"A",521,767
"A",521,788
"A",521,742
"A",521,751
"A",521,677
"A",521,699
"A",521,518
"A",521,727
"A",521,721
"A",521,767
"A",521,796
"A",521,793
"A",521,617
"A",521,742
"A",521,794
"A",521,796
"A",521,793
"A",521,617
"A",521,788
"A",521,793
"A",523,619
"A",523,683
"A",523,693
"A",523,747
"A",523,593
"A",523,683
"A",523,665
"A",523,593
"A",523,766
"A",523,673
"A",523,714
"A",523,794
"A",523,571
"A",523,665
"A",523,747
"A",523,693
"A",523,560
"A",523,569
"A",523,560
"A",523,619
"A",523,771
"A",523,571
"A",523,693
"A",526,699
"A",526,792
"A",526,730
"A",526,582
"A",526,620
"A",526,713
"A",526,680
"A",526,681
"A",526,621
"A",526,620
"A",526,582
"A",526,713
"A",526,621
"A",526,621
"A",526,536
"A",526,736
"A",526,657
"A",526,774
"A",526,725
"A",526,732
"A",526,607
"A",526,842
"A",526,842
"A",526,681
"A",526,680
"A",526,842
"A",527,534
"A",527,616
"A",527,651
"A",527,731
"A",527,813
"A",527,611
"A",527,648
"A",527,827
"A",527,746
"A",527,717
"A",527,764
"A",527,778
"A",527,843
"A",527,778
"A",527,668
"A",527,737
"A",527,746
"A",527,731
"A",527,559
"A",527,663
"A",527,829
"A",527,786
"A",527,737
"A",527,603
"A",527,843
"A",527,603
"A",527,829
"A",527,786
"A",528,700
"A",528,813
"A",528,612
"A",528,730
"A",528,611
"A",528,828
"A",528,615
"A",528,712
"A",528,576
"A",528,615
"A",528,570
"A",528,799
"A",528,611
"A",528,712
"A",528,657
"A",528,700
"A",528,712
"A",528,657
"A",528,744
"A",528,616
"A",528,657
"A",528,737
"A",528,701
"A",528,695
"A",528,570
"A",528,799
"A",528,576
"A",528,828
"A",528,576
"A",529,690
"A",529,550
"A",529,635
"A",529,639
"A",529,537
"A",529,719
"A",529,798
"A",529,503
"A",529,537
"A",529,581
"A",529,798
"A",529,503
"A",529,574
"A",529,625
"A",529,786
"A",529,836
"A",529,581
"A",529,520
"A",529,669
"A",529,639
"A",529,719
"A",529,520
"A",529,669
"A",529,836
"A",529,669
"A",530,703
"A",530,780
"A",530,834
"A",530,548
"A",530,606
"A",530,562
"A",530,714
