season,daynum,wteam,wscore,lteam,lscore,numot
A,136,515,86,729,80,NA
A,136,559,68,555,59,NA
A,136,576,75,666,63,NA
A,136,581,75,577,60,NA
A,136,604,81,551,74,NA
A,136,629,74,539,64,NA
A,136,640,110,756,72,NA
A,136,660,68,679,44,NA
A,136,663,92,809,70,NA
A,136,675,58,825,51,NA
A,136,736,43,810,41,NA
A,136,738,73,833,71,NA
A,136,783,66,530,58,NA
A,136,786,88,681,55,NA
A,136,821,72,541,43,NA
A,136,831,61,844,48,NA
A,137,511,90,826,51,NA
A,137,527,64,625,51,NA
A,137,549,66,815,61,NA
A,137,603,93,685,56,NA
A,137,606,90,519,79,NA
A,137,628,81,599,79,NA
A,137,636,92,747,54,NA
A,137,651,82,802,80,NA
A,137,701,69,637,48,NA
A,137,708,83,703,62,NA
A,137,758,91,662,79,NA
A,137,789,61,721,43,NA
A,137,793,80,670,76,NA
A,137,796,74,690,73,NA
A,137,829,92,732,58,NA
A,137,839,62,812,50,NA
A,138,515,65,660,56,NA
A,138,559,95,581,81,NA
A,138,604,76,738,69,NA
A,138,640,84,831,60,NA
A,138,663,79,783,74,NA
A,138,675,63,736,41,NA
A,138,786,69,576,58,NA
A,138,821,73,629,67,NA
A,139,511,87,628,73,NA
A,139,549,78,789,65,NA
A,139,603,73,701,62,NA
A,139,606,103,527,89,NA
A,139,636,76,758,51,NA
A,139,651,68,829,64,NA
A,139,796,92,708,73,NA
A,139,839,65,793,62,NA
A,143,603,98,796,90,NA
A,143,640,101,821,70,NA
A,143,663,79,515,63,NA
A,143,839,60,651,59,NA
A,144,549,87,606,70,NA
A,144,636,83,511,80,NA
A,144,675,60,559,55,NA
A,144,786,83,604,81,NA
A,145,640,83,839,63,NA
A,145,663,86,603,62,NA
A,146,675,73,549,63,NA
A,146,786,60,636,57,NA
A,152,640,81,663,74,NA
A,152,786,77,675,69,NA
A,154,640,76,786,67,NA
B,136,511,65,768,57,NA
B,136,527,73,826,66,NA
B,136,539,55,736,52,NA
B,136,549,86,535,69,NA
B,136,554,75,662,66,NA
B,136,556,80,625,62,NA
B,136,628,73,830,60,NA
B,136,629,69,624,57,NA
B,136,636,78,632,64,NA
B,136,640,92,680,54,NA
B,136,708,82,589,74,NA
B,136,738,83,741,76,NA
B,136,779,75,727,65,NA
B,136,810,109,545,75,NA
B,136,829,101,648,91,NA
B,136,853,80,827,68,NA
B,137,546,79,603,67,NA
B,137,547,73,604,70,NA
B,137,551,68,669,56,NA
B,137,560,78,769,65,NA
B,137,577,71,687,68,NA
B,137,623,90,818,77,NA
B,137,651,65,663,57,NA
B,137,673,78,795,46,NA
B,137,701,59,723,55,NA
B,137,737,81,660,59,NA
B,137,783,80,721,67,NA
B,137,789,62,674,40,NA
B,137,793,71,849,58,NA
B,137,802,81,528,52,NA
B,137,821,75,692,61,NA
B,137,839,68,781,46,NA
B,138,511,73,554,69,NA
B,138,539,75,829,68,NA
B,138,629,67,549,66,NA
B,138,636,75,738,61,NA
B,138,640,75,628,69,NA
B,138,708,73,556,56,NA
B,138,779,81,527,77,NA
B,138,810,96,853,83,NA
B,139,547,75,623,63,NA
B,139,551,65,802,59,NA
B,139,651,64,701,63,NA
B,139,673,76,789,57,NA
B,139,737,98,577,87,NA
B,139,783,72,839,66,NA
B,139,793,82,560,81,NA
B,139,821,77,546,58,NA
B,143,640,83,779,68,NA
B,143,673,90,551,84,NA
B,143,810,74,629,73,NA
B,143,821,82,783,77,NA
B,144,511,85,636,82,NA
B,144,651,78,793,63,NA
B,144,708,63,539,57,NA
B,144,737,71,547,65,NA
B,145,640,72,821,59,NA
B,145,673,80,810,72,NA
B,146,511,96,737,92,NA
B,146,708,97,651,74,NA
B,152,511,66,708,58,NA
B,152,640,78,673,69,NA
B,154,511,84,640,79,NA
C,136,511,99,705,60,NA
C,136,515,74,698,65,NA
C,136,546,77,622,62,NA
C,136,549,65,713,62,NA
C,136,559,93,588,85,NA
C,136,623,64,768,51,NA
C,136,624,82,790,81,NA
C,136,625,94,721,87,NA
C,136,662,82,822,68,NA
C,136,671,83,581,71,NA
C,136,708,88,692,52,NA
C,136,736,69,817,57,NA
C,136,743,62,769,61,NA
C,136,821,85,755,68,NA
C,136,840,69,853,68,NA
C,136,843,82,789,52,NA
C,137,574,66,778,64,NA
C,137,577,99,740,63,NA
C,137,595,96,788,87,NA
C,137,636,110,734,52,NA
C,137,640,82,747,67,NA
C,137,670,80,568,61,NA
C,137,701,79,535,62,NA
C,137,722,74,599,59,NA
C,137,738,95,570,56,NA
C,137,741,97,687,74,NA
C,137,780,51,663,46,NA
C,137,783,67,554,57,NA
C,137,786,63,627,61,NA
C,137,810,65,668,62,NA
C,137,826,70,674,69,NA
