season,seed,team
A,W01,663
A,W02,603
A,W03,796
A,W04,660
A,W05,729
A,W06,708
A,W07,701
A,W08,530
A,W09,783
A,W10,637
A,W11,703
A,W12,515
A,W13,679
A,W14,690
A,W15,685
A,W16,809
A,X01,640
A,X02,839
A,X03,829
A,X04,821
A,X05,629
A,X06,651
A,X07,670
A,X08,844
A,X09,831
A,X10,793
A,X11,802
A,X12,539
A,X13,541
A,X14,732
A,X15,812
A,X16,756
A,Y01,559
A,Y02,549
A,Y03,606
A,Y04,810
A,Y05,675
A,Y06,625
A,Y07,789
A,Y08,577
A,Y09,581
A,Y10,721
A,Y11,527
A,Y12,825
A,Y13,736
A,Y14,519
A,Y15,815
A,Y16,555
A,Z01,738
A,Z02,636
A,Z03,511
A,Z04,786
A,Z05,666
A,Z06,628
A,Z07,662
A,Z08,604
A,Z09,551
A,Z10,758
A,Z11,599
A,Z12,576
A,Z13,681
A,Z14,826
A,Z15,747
A,Z16,833
B,W01,708
B,W02,769
B,W03,701
B,W04,829
B,W05,539
B,W06,651
B,W07,849
B,W08,625
B,W09,556
B,W10,793
B,W11,663
B,W12,736
B,W13,648
B,W14,723
B,W15,560
B,W16,589
B,X01,636
B,X02,577
B,X03,604
B,X04,511
B,X05,662
B,X06,623
B,X07,660
B,X08,738
B,X09,741
B,X10,737
B,X11,818
B,X12,554
B,X13,768
B,X14,547
B,X15,687
B,X16,632
B,Y01,673
B,Y02,810
B,Y03,549
B,Y04,551
B,Y05,802
B,Y06,629
B,Y07,853
B,Y08,674
B,Y09,789
B,Y10,827
B,Y11,624
B,Y12,528
B,Y13,669
B,Y14,535
B,Y15,545
B,Y16,795
B,Z01,640
B,Z02,821
B,Z03,839
B,Z04,779
B,Z05,527
B,Z06,783
B,Z07,546
B,Z08,628
B,Z09,830
B,Z10,603
B,Z11,721
B,Z12,826
B,Z13,727
B,Z14,781
B,Z15,692
B,Z16,680
C,W01,708
C,W02,559
C,W03,769
C,W04,671
C,W05,736
C,W06,853
C,W07,625
C,W08,546
C,W09,622
C,W10,721
C,W11,840
C,W12,817
C,W13,581
C,W14,743
C,W15,588
C,W16,692
C,X01,511
C,X02,549
C,X03,821
C,X04,662
C,X05,623
C,X06,515
C,X07,789
C,X08,790
C,X09,624
C,X10,843
C,X11,698
C,X12,768
C,X13,822
C,X14,755
C,X15,713
C,X16,705
C,Y01,636
C,Y02,738
C,Y03,783
C,Y04,674
C,Y05,788
C,Y06,551
C,Y07,778
C,Y08,741
C,Y09,687
C,Y10,574
C,Y11,836
C,Y12,595
C,Y13,826
C,Y14,554
C,Y15,570
C,Y16,734
C,Z01,577
C,Z02,640
C,Z03,670
C,Z04,701
C,Z05,786
C,Z06,810
C,Z07,663
C,Z08,722
C,Z09,599
C,Z10,780
C,Z11,668
C,Z12,627
C,Z13,535
C,Z14,568
C,Z15,747
C,Z16,740
D,W01,577
D,W02,668
D,W03,549
D,W04,790
D,W05,849
D,W06,789
D,W07,793
D,W08,554
D,W09,802
D,W10,738
D,W11,639
D,W12,678
D,W13,570
D,W14,602
D,W15,642
D,W16,593
D,X01,671
D,X02,821
D,X03,640
D,X04,511
D,X05,546
D,X06,636
D,X07,840
D,X08,829
D,X09,674
D,X10,669
D,X11,587
D,X12,741
D,X13,721
D,X14,702
D,X15,516
D,X16,686
D,Y01,518
D,Y02,662
D,Y03,778
D,Y04,720
D,Y05,810
D,Y06,625
D,Y07,651
D,Y08,786
D,Y09,722
D,Y10,562
D,Y11,599
D,Y12,574
D,Y13,687
D,Y14,752
D,Y15,826
D,Y16,848
D,Z01,559
D,Z02,783
D,Z03,708
D,Z04,515
D,Z05,628
D,Z06,592
D,Z07,673
D,Z08,676
D,Z09,701
D,Z10,607
D,Z11,728
D,Z12,805
D,Z13,766
D,Z14,842
D,Z15,508
D,Z16,820
E,W01,671
E,W02,629
E,W03,662
E,W04,786
E,W05,640
E,W06,810
E,W07,518
E,W08,821
E,W09,780
E,W10,562
E,W11,520
E,W12,775
E,W13,752
E,W14,627
E,W15,544
E,W16,826
E,X01,511
E,X02,778
E,X03,721
E,X04,655
E,X05,793
E,X06,738
E,X07,651
E,X08,849
E,X09,597
E,X10,607
E,X11,569
E,X12,626
E,X13,762
E,X14,848
E,X15,713
E,X16,632
E,Y01,577
E,Y02,789
E,Y03,722
E,Y04,623
E,Y05,592
E,Y06,625
E,Y07,725
E,Y08,636
E,Y09,573
E,Y10,764
E,Y11,730
E,Y12,535
E,Y13,728
E,Y14,615
E,Y15,642
E,Y16,643
E,Z01,783
E,Z02,549
E,Z03,720
E,Z04,790
E,Z05,559
E,Z06,668
E,Z07,802
E,Z08,708
E,Z09,676
E,Z10,817
E,Z11,515
E,Z12,822
E,Z13,811
E,Z14,510
E,Z15,816
E,Z16,747
F,W01,577
F,W02,640
F,W03,527
F,W04,810
F,W05,720
F,W06,818
F,W07,628
F,W08,604
F,W09,676
F,W10,562
F,W11,722
F,W12,822
F,W13,615
F,W14,774
F,W15,616
F,W16,679
F,X01,783
F,X02,629
F,X03,662
F,X04,625
F,X05,549
F,X06,849
F,X07,515
F,X08,606
F,X09,779
F,X10,603
F,X11,605
F,X12,536
F,X13,639
F,X14,602
F,X15,610
F,X16,815
F,Y01,623
F,Y02,511
F,Y03,674
F,Y04,636
F,Y05,786
F,Y06,717
F,Y07,839
F,Y08,790
F,Y09,546
F,Y10,535
F,Y11,853
F,Y12,613
F,Y13,565
F,Y14,627
F,Y15,579
F,Y16a,716
F,Y16b,848
F,Z01,671
F,Z02,708
F,Z03,592
F,Z04,721
F,Z05,830
F,Z06,793
F,Z07,729
F,Z08,539
F,Z09,597
F,Z10,737
F,Z11,789
F,Z12,607
F,Z13,626
F,Z14,835
F,Z15,736
F,Z16,506
G,W01,662
G,W02,559
G,W03,604
G,W04,640
G,W05,660
G,W06,796
G,W07,695
G,W08,849
G,W09,778
G,W10,671
G,W11,749
G,W12,802
G,W13,826
G,W14,687
G,W15,610
G,W16a,508
G,W16b,766
G,X01,636
G,X02,725
G,X03,675
G,X04,623
G,X05,592
G,X06,793
G,X07,839
G,X08,783
G,X09,835
G,X10,730
G,X11,527
G,X12,562
G,X13,754
G,X14,664
G,X15,680
G,X16,616
G,Y01,577
G,Y02,504
G,Y03,731
G,Y04,818
G,Y05,625
G,Y06,539
G,Y07,722
G,Y08,717
G,Y09,546
G,Y10,639
G,Y11,728
G,Y12,821
G,Y13,816
G,Y14,544
G,Y15,590
G,Y16,848
G,Z01,549
G,Z02,721
G,Z03,511
G,Z04,720
G,Z05,668
G,Z06,607
G,Z07,853
G,Z08,810
G,Z09,674
G,Z10,613
G,Z11,852
G,Z12,676
G,Z13,568
G,Z14,757
G,Z15,622
G,Z16,528
H,W01,721
H,W02,839
H,W03,786
H,W04,651
H,W05,675
H,W06,722
H,W07,779
H,W08,539
H,W09,695
H,W10,518
H,W11,728
H,W12,535
H,W13,519
H,W14,658
H,W15,586
H,W16,747
H,X01,793
H,X02,592
H,X03,853
H,X04,783
H,X05,559
H,X06,662
H,X07,671
H,X08,655
H,X09,738
H,X10,556
H,X11,816
H,X12,536
H,X13,753
H,X14,800
H,X15,751
H,X16a,804
H,X16b,814
H,Y01,640
H,Y02,731
H,Y03,660
H,Y04,569
H,Y05,849
H,Y06,676
H,Y07,625
H,Y08,725
H,Y09,821
H,Y10,504
H,Y11,749
H,Y12,842
H,Y13,802
H,Y14,616
H,Y15,838
H,Y16,631
H,Z01,511
H,Z02,636
H,Z03,577
H,Z04,623
H,Z05,717
H,Z06,562
H,Z07,666
H,Z08,549
H,Z09,607
H,Z10,512
H,Z11,537
H,Z12,845
H,Z13,835
H,Z14,557
H,Z15,822
H,Z16,828
I,W01,577
I,W02,675
I,W03,793
I,W04,549
I,W05,623
I,W06,708
I,W07,853
I,W08,764
I,W09,511
I,W10,651
I,W11,502
I,W12,687
I,W13,586
I,W14,736
I,W15,679
I,W16,506
I,X01,783
I,X02,559
I,X03,695
I,X04,662
I,X05,786
I,X06,827
I,X07,573
I,X08,504
I,X09,749
I,X10,569
I,X11,836
I,X12,536
I,X13,824
I,X14,811
I,X15,828
I,X16,820
I,Y01,779
I,Y02,722
I,Y03,731
I,Y04,839
I,Y05,592
