"id","name","from"
501,"Abilene Christian","sports-reference"
501,"Abilene Chr","kaggle"
502,"Air Force","kaggle"
502,"Air Force","sports-reference"
503,"Akron","kaggle"
503,"Akron","sports-reference"
504,"Alabama","kaggle"
504,"Alabama","sports-reference"
505,"Alabama AM","sports-reference"
505,"Alabama A&M","kaggle"
506,"Alabama State","sports-reference"
506,"Alabama St","kaggle"
507,"Albany NY","kaggle"
507,"Albany NY","sports-reference"
508,"Alcorn State","sports-reference"
508,"Alcorn St","kaggle"
509,"American","sports-reference"
509,"American Univ","kaggle"
510,"Appalachian State","sports-reference"
510,"Appalachian St","kaggle"
511,"Arizona","kaggle"
511,"Arizona","sports-reference"
512,"Arizona State","sports-reference"
512,"Arizona St","kaggle"
513,"Arkansas Little Rock","sports-reference"
513,"Ark Little Rock","kaggle"
514,"Arkansas Pine Bluff","sports-reference"
514,"Ark Pine Bluff","kaggle"
515,"Arkansas","kaggle"
515,"Arkansas","sports-reference"
516,"Arkansas State","sports-reference"
516,"Arkansas St","kaggle"
517,"Army","kaggle"
517,"Army","sports-reference"
518,"Auburn","kaggle"
518,"Auburn","sports-reference"
519,"Austin Peay","kaggle"
519,"Austin Peay","sports-reference"
520,"Ball State","sports-reference"
520,"Ball St","kaggle"
521,"Baylor","kaggle"
521,"Baylor","sports-reference"
522,"Belmont","kaggle"
522,"Belmont","sports-reference"
523,"Bethune-Cookman","kaggle"
523,"Bethune-Cookman","sports-reference"
524,"Binghamton","kaggle"
524,"Binghamton","sports-reference"
525,"Birmingham Southern","sports-reference"
525,"Birmingham So","kaggle"
526,"Boise State","sports-reference"
526,"Boise St","kaggle"
527,"Boston College","kaggle"
527,"Boston College","sports-reference"
528,"Boston University","sports-reference"
528,"Boston Univ","kaggle"
529,"Bowling Green State","sports-reference"
529,"Bowling Green","kaggle"
530,"Bradley","kaggle"
530,"Bradley","sports-reference"
531,"Brown","kaggle"
531,"Brown","sports-reference"
532,"Bryant","kaggle"
532,"Bryant","sports-reference"
533,"Bucknell","kaggle"
533,"Bucknell","sports-reference"
534,"Buffalo","kaggle"
534,"Buffalo","sports-reference"
535,"Butler","kaggle"
535,"Butler","sports-reference"
536,"Brigham Young","sports-reference"
536,"BYU","kaggle"
537,"Central Michigan","sports-reference"
537,"C Michigan","kaggle"
538,"Cal Poly","sports-reference"
538,"Cal Poly SLO","kaggle"
539,"California","kaggle"
539,"California","sports-reference"
540,"Campbell","kaggle"
540,"Campbell","sports-reference"
541,"Canisius","kaggle"
541,"Canisius","sports-reference"
542,"Central Arkansas","sports-reference"
542,"Cent Arkansas","kaggle"
543,"Centenary LA","sports-reference"
543,"Centenary","kaggle"
544,"Central Connecticut State","sports-reference"
544,"Central Conn","kaggle"
545,"Charleston Southern","sports-reference"
545,"Charleston So","kaggle"
546,"Charlotte","kaggle"
546,"Charlotte","sports-reference"
547,"Chattanooga","kaggle"
547,"Chattanooga","sports-reference"
548,"Chicago State","sports-reference"
548,"Chicago St","kaggle"
549,"Cincinnati","kaggle"
549,"Cincinnati","sports-reference"
550,"Citadel","kaggle"
550,"Citadel","sports-reference"
551,"Clemson","kaggle"
551,"Clemson","sports-reference"
