"","lo_win","year","hiteam","loteam","hi.G","hi.MP","hi.FG","hi.FGA","hi.FG_percent","hi.X2P","hi.X2PA","hi.X2P_percent","hi.X3P","hi.X3PA","hi.X3P_percent","hi.FT","hi.FTA","hi.FT_percent","hi.ORB","hi.DRB","hi.TRB","hi.AST","hi.STL","hi.BLK","hi.TOV","hi.PF","hi.PTS","hi.PTSperG","lo.G","lo.MP","lo.FG","lo.FGA","lo.FG_percent","lo.X2P","lo.X2PA","lo.X2P_percent","lo.X3P","lo.X3PA","lo.X3P_percent","lo.FT","lo.FTA","lo.FT_percent","lo.ORB","lo.DRB","lo.TRB","lo.AST","lo.STL","lo.BLK","lo.TOV","lo.PF","lo.PTS","lo.PTSperG"
"1",1,2000,632,511,33,NA,766,1875,0.409,675,1513,0.446,91,362,0.251,582,911,0.639,NA,NA,1480,414,252,172,NA,NA,2205,66.8,34,NA,904,1976,0.457,749,1494,0.501,155,482,0.322,636,871,0.73,NA,NA,1444,537,255,192,NA,NA,2599,76.4
"2",1,2000,562,518,33,NA,819,1717,0.477,530,1023,0.518,289,694,0.416,483,671,0.72,NA,NA,1172,510,262,77,NA,NA,2410,73,34,NA,874,2118,0.413,647,1423,0.455,227,695,0.327,448,684,0.655,NA,NA,1475,438,247,110,NA,NA,2423,71.3
"3",1,2000,651,607,31,NA,849,1823,0.466,684,1320,0.518,165,503,0.328,406,577,0.704,NA,NA,1141,518,286,136,NA,NA,2269,73.2,35,NA,965,2014,0.479,705,1299,0.543,260,715,0.364,529,795,0.665,NA,NA,1432,587,202,150,NA,NA,2719,77.7
"4",0,2000,629,544,37,NA,1038,2140,0.485,848,1622,0.523,190,518,0.367,632,899,0.703,NA,NA,1539,565,277,119,NA,NA,2898,78.3,31,NA,832,1845,0.451,684,1429,0.479,148,416,0.356,470,665,0.707,NA,NA,1346,451,276,156,NA,NA,2282,73.6
"5",1,2000,775,640,31,NA,767,1716,0.447,590,1204,0.49,177,512,0.346,425,643,0.661,NA,NA,1224,386,257,87,NA,NA,2136,68.9,33,NA,793,1873,0.423,605,1230,0.492,188,643,0.292,506,735,0.688,NA,NA,1432,427,201,185,NA,NA,2280,69.1
"6",1,2000,762,655,31,NA,748,1680,0.445,555,1122,0.495,193,558,0.346,465,662,0.702,NA,NA,1227,383,188,164,NA,NA,2154,69.5,34,NA,915,1880,0.487,719,1322,0.544,196,558,0.351,552,858,0.643,NA,NA,1524,503,313,180,NA,NA,2578,75.8
"7",0,2000,662,627,35,NA,1001,2151,0.465,806,1598,0.504,195,553,0.353,486,710,0.685,NA,NA,1454,667,355,235,NA,NA,2683,76.7,31,NA,846,1877,0.451,699,1450,0.482,147,427,0.344,604,833,0.725,NA,NA,1376,529,233,216,NA,NA,2443,78.8
"8",1,2000,826,671,32,NA,758,1702,0.445,530,1083,0.489,228,619,0.368,384,590,0.651,NA,NA,1257,459,236,120,NA,NA,2128,66.5,39,NA,1018,2148,0.474,765,1479,0.517,253,669,0.378,600,816,0.735,NA,NA,1625,602,256,105,NA,NA,2889,74.1
"9",1,2000,848,721,30,NA,733,1719,0.426,482,1017,0.474,251,702,0.358,476,717,0.664,NA,NA,1275,406,215,104,NA,NA,2193,73.1,34,NA,917,2004,0.458,654,1317,0.497,263,687,0.383,449,632,0.71,NA,NA,1328,525,241,89,NA,NA,2546,74.9
"10",0,2000,738,569,34,NA,849,1914,0.444,643,1325,0.485,206,589,0.35,601,879,0.684,NA,NA,1364,482,261,104,NA,NA,2505,73.7,31,NA,752,1735,0.433,534,1145,0.466,218,590,0.369,492,690,0.713,NA,NA,1250,412,215,70,NA,NA,2214,71.4
"11",0,2000,778,713,33,NA,929,2002,0.464,780,1528,0.51,149,474,0.314,426,629,0.677,NA,NA,1133,541,352,89,NA,NA,2433,73.7,31,NA,775,1626,0.477,512,953,0.537,263,673,0.391,467,622,0.751,NA,NA,1177,493,120,96,NA,NA,2280,73.5
"12",0,2000,786,752,32,NA,876,1869,0.469,705,1386,0.509,171,483,0.354,477,677,0.705,NA,NA,1294,564,286,167,NA,NA,2400,75,32,NA,825,1649,0.5,512,845,0.606,313,804,0.389,360,515,0.699,NA,NA,1066,543,230,102,NA,NA,2323,72.6
"13",0,2000,793,626,32,NA,966,2135,0.452,706,1450,0.487,260,685,0.38,621,812,0.765,NA,NA,1359,609,293,204,NA,NA,2813,87.9,32,NA,756,1739,0.435,595,1286,0.463,161,453,0.355,463,657,0.705,NA,NA,1143,406,292,104,NA,NA,2136,66.8
"14",0,2000,810,520,33,NA,952,1984,0.48,747,1432,0.522,205,552,0.371,383,652,0.587,NA,NA,1386,545,282,145,NA,NA,2492,75.5,31,NA,834,1840,0.453,619,1302,0.475,215,538,0.4,417,681,0.612,NA,NA,1258,428,258,131,NA,NA,2300,74.2
"15",0,2000,821,780,32,NA,782,1624,0.482,560,1050,0.533,222,574,0.387,466,648,0.719,NA,NA,1147,496,198,89,NA,NA,2252,70.4,33,NA,729,1696,0.43,583,1264,0.461,146,432,0.338,520,758,0.686,NA,NA,1275,401,254,126,NA,NA,2124,64.4
"16",0,2000,849,597,36,NA,765,1793,0.427,558,1191,0.469,207,602,0.344,420,617,0.681,NA,NA,1199,478,236,102,NA,NA,2157,59.9,34,NA,1021,2167,0.471,742,1373,0.54,279,794,0.351,478,680,0.703,NA,NA,1388,654,282,161,NA,NA,2799,82.3
"17",1,2000,816,549,31,NA,667,1609,0.415,491,1136,0.432,176,473,0.372,353,561,0.629,NA,NA,1159,375,221,67,NA,NA,1863,60.1,33,NA,898,1871,0.48,733,1412,0.519,165,459,0.359,599,854,0.701,NA,NA,1399,513,236,223,NA,NA,2560,77.6
"18",1,2000,822,559,34,NA,879,1888,0.466,685,1352,0.507,194,536,0.362,445,709,0.628,NA,NA,1347,487,235,126,NA,NA,2397,70.5,35,NA,956,2071,0.462,772,1594,0.484,184,477,0.386,515,707,0.728,NA,NA,1466,529,230,179,NA,NA,2611,74.6
"19",1,2000,643,577,31,NA,672,1725,0.39,456,1082,0.421,216,643,0.336,389,567,0.686,NA,NA,1206,408,225,86,NA,NA,1949,62.9,34,NA,1045,2172,0.481,761,1430,0.532,284,742,0.383,618,833,0.742,NA,NA,1432,584,333,191,NA,NA,2992,88
"20",0,2000,592,535,37,NA,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,NA,NA,1587,611,365,141,NA,NA,3102,83.8,31,NA,753,1599,0.471,600,1193,0.503,153,406,0.377,448,680,0.659,NA,NA,1174,430,237,88,NA,NA,2107,68
"21",1,2000,728,623,29,NA,707,1565,0.452,518,1027,0.504,189,538,0.351,339,526,0.644,NA,NA,1134,436,158,119,NA,NA,1942,67,32,NA,834,1925,0.433,603,1273,0.474,231,652,0.354,525,763,0.688,NA,NA,1307,499,297,119,NA,NA,2424,75.8
