season,daynum,wteam,wscore,lteam,lscore,wloc,numot
A,16,511,91,647,57,H,NA
A,16,515,75,812,67,H,NA
A,16,606,87,658,67,H,NA
A,16,670,73,573,65,H,NA
A,16,721,99,632,68,H,NA
A,16,842,102,597,86,A,NA
A,17,603,106,555,57,H,NA
A,17,789,65,744,62,H,NA
A,18,511,83,515,73,A,NA
A,18,606,83,721,72,H,NA
A,18,670,80,842,62,H,NA
A,19,603,74,789,49,H,NA
A,21,708,71,827,63,N,NA
A,21,758,78,810,69,N,NA
A,21,829,66,849,58,N,NA
A,22,708,92,671,70,N,NA
A,22,810,68,849,57,N,NA
A,22,829,77,758,65,N,NA
A,23,511,86,670,79,N,NA
A,23,559,102,788,76,N,NA
A,23,603,94,606,72,N,NA
A,23,628,78,719,51,N,NA
A,23,758,77,671,71,N,NA
A,23,827,75,810,71,N,NA
A,23,829,77,708,75,N,NA
A,24,577,75,723,55,N,NA
A,25,511,91,603,81,N,NA
A,25,518,70,641,60,N,NA
A,25,533,68,755,65,A,NA
A,25,575,80,645,59,H,NA
A,25,577,70,625,64,N,NA
A,25,592,83,545,65,H,NA
A,25,599,81,611,69,H,NA
A,25,606,77,670,61,N,NA
A,25,610,71,608,61,N,NA
A,25,613,78,569,72,H,NA
A,25,628,101,559,95,N,NA
A,25,629,70,544,45,H,NA
A,25,635,86,624,85,N,NA
A,25,640,96,662,84,N,NA
A,25,667,87,833,83,N,NA
A,25,668,81,696,58,H,NA
A,25,673,70,826,66,N,NA
A,25,680,70,677,60,H,NA
A,25,698,72,798,59,N,NA
A,25,701,76,819,56,H,NA
A,25,719,86,788,68,N,NA
A,25,742,80,854,58,N,NA
A,25,751,82,521,79,A,NA
A,25,753,84,566,80,A,NA
A,25,754,83,715,63,H,NA
A,25,757,71,556,47,H,NA
A,25,769,82,815,64,H,NA
A,25,778,88,704,72,H,NA
A,25,780,79,655,70,N,NA
A,25,783,92,784,60,H,NA
A,25,801,113,734,72,H,NA
A,25,807,87,766,70,N,NA
A,25,818,76,643,72,H,NA
A,25,825,83,835,65,N,NA
A,25,830,84,797,65,H,NA
A,25,841,72,607,67,A,NA
A,25,846,63,822,61,N,NA
A,26,504,84,848,69,H,NA
A,26,512,103,804,77,H,NA
A,26,518,82,635,71,N,NA
A,26,527,89,534,49,H,NA
A,26,535,75,665,44,H,NA
A,26,536,86,526,71,H,NA
A,26,539,111,713,83,H,NA
A,26,541,73,836,53,A,NA
A,26,546,63,816,60,A,NA
A,26,552,65,627,62,H,NA
A,26,559,86,625,52,N,NA
A,26,562,63,767,59,A,NA
A,26,567,82,616,75,H,NA
A,26,574,52,647,45,H,NA
A,26,577,88,628,81,N,NA
A,26,579,68,724,57,A,NA
A,26,589,81,679,79,A,NA
A,26,599,80,610,73,H,NA
A,26,602,139,571,73,H,NA
A,26,608,62,611,59,N,NA
A,26,622,96,548,79,A,NA
A,26,623,83,820,80,H,NA
A,26,624,72,641,65,N,NA
A,26,636,79,821,68,H,NA
A,26,637,75,530,72,H,NA
A,26,639,90,654,73,H,NA
A,26,651,83,825,74,N,NA
A,26,653,76,847,72,A,NA
A,26,659,73,712,55,A,NA
A,26,666,91,738,76,N,NA
A,26,669,89,580,68,A,NA
A,26,672,81,626,78,H,NA
A,26,673,64,846,55,N,NA
A,26,675,121,761,78,H,NA
A,26,676,86,850,60,H,NA
A,26,678,83,803,71,H,NA
A,26,685,93,634,68,H,NA
A,26,692,89,502,87,H,NA
A,26,695,104,832,78,H,NA
A,26,698,114,725,106,N,NA
A,26,701,107,667,72,H,NA
A,26,704,68,766,51,N,NA
A,26,717,65,503,54,H,NA
A,26,719,90,723,89,N,NA
A,26,729,90,683,65,H,NA
A,26,732,69,805,60,H,NA
A,26,737,92,700,78,H,NA
A,26,740,92,797,77,H,NA
A,26,741,89,531,71,A,NA
A,26,743,69,540,62,A,NA
A,26,744,64,528,62,H,NA
A,26,745,75,828,73,H,NA
A,26,758,50,726,45,A,NA
A,26,771,65,730,58,H,NA
A,26,776,92,644,78,H,NA
A,26,781,84,533,66,H,NA
A,26,783,75,742,64,H,NA
A,26,784,78,854,58,N,NA
A,26,786,87,642,63,H,NA
A,26,793,88,711,67,H,NA
A,26,807,83,778,77,A,NA
A,26,817,80,565,56,H,NA
A,26,819,92,833,83,N,NA
A,26,826,79,822,70,N,NA
A,26,839,75,686,62,H,NA
A,26,843,80,593,39,H,NA
A,26,853,88,777,61,H,NA
A,27,518,82,651,78,N,NA
A,27,551,83,814,41,H,NA
A,27,569,86,655,73,N,NA
A,27,613,72,780,66,H,NA
A,27,660,91,845,74,H,NA
A,27,698,96,673,85,N,NA
A,27,711,82,813,67,H,NA
A,27,714,77,774,64,H,NA
A,27,720,79,544,52,H,NA
A,27,725,74,846,64,N,NA
A,27,727,80,753,78,H,NA
A,27,790,74,605,59,H,NA
A,27,796,101,734,54,H,NA
A,27,825,66,635,60,N,NA
A,27,826,84,798,65,N,NA
A,27,835,71,641,63,N,NA
A,27,841,90,582,58,H,NA
A,28,508,76,552,62,H,NA
A,28,513,93,751,89,A,NA
A,28,519,68,690,65,H,NA
A,28,527,97,616,60,H,NA
A,28,534,78,746,74,H,NA
A,28,556,85,716,82,H,NA
A,28,568,84,674,83,A,NA
A,28,573,91,757,71,H,NA
A,28,595,97,619,81,H,NA
A,28,604,88,600,44,H,NA
A,28,606,87,540,76,H,NA
A,28,642,78,561,69,H,NA
A,28,645,87,686,72,H,NA
A,28,662,70,799,67,H,NA
A,28,664,83,617,81,H,NA
A,28,668,76,590,56,A,NA
A,28,669,90,700,64,H,NA
A,28,670,84,777,52,H,NA
A,28,672,91,724,74,A,NA
