season,slot,strongseed,weakseed
A,R1W1,W01,W16
A,R1W2,W02,W15
A,R1W3,W03,W14
A,R1W4,W04,W13
A,R1W5,W05,W12
A,R1W6,W06,W11
A,R1W7,W07,W10
A,R1W8,W08,W09
A,R1X1,X01,X16
A,R1X2,X02,X15
A,R1X3,X03,X14
A,R1X4,X04,X13
A,R1X5,X05,X12
A,R1X6,X06,X11
A,R1X7,X07,X10
A,R1X8,X08,X09
A,R1Y1,Y01,Y16
A,R1Y2,Y02,Y15
A,R1Y3,Y03,Y14
A,R1Y4,Y04,Y13
A,R1Y5,Y05,Y12
A,R1Y6,Y06,Y11
A,R1Y7,Y07,Y10
A,R1Y8,Y08,Y09
A,R1Z1,Z01,Z16
A,R1Z2,Z02,Z15
A,R1Z3,Z03,Z14
A,R1Z4,Z04,Z13
A,R1Z5,Z05,Z12
A,R1Z6,Z06,Z11
A,R1Z7,Z07,Z10
A,R1Z8,Z08,Z09
A,R2W1,R1W1,R1W8
A,R2W2,R1W2,R1W7
A,R2W3,R1W3,R1W6
A,R2W4,R1W4,R1W5
A,R2X1,R1X1,R1X8
A,R2X2,R1X2,R1X7
A,R2X3,R1X3,R1X6
A,R2X4,R1X4,R1X5
A,R2Y1,R1Y1,R1Y8
A,R2Y2,R1Y2,R1Y7
A,R2Y3,R1Y3,R1Y6
A,R2Y4,R1Y4,R1Y5
A,R2Z1,R1Z1,R1Z8
A,R2Z2,R1Z2,R1Z7
A,R2Z3,R1Z3,R1Z6
A,R2Z4,R1Z4,R1Z5
A,R3W1,R2W1,R2W4
A,R3W2,R2W2,R2W3
A,R3X1,R2X1,R2X4
A,R3X2,R2X2,R2X3
A,R3Y1,R2Y1,R2Y4
A,R3Y2,R2Y2,R2Y3
A,R3Z1,R2Z1,R2Z4
A,R3Z2,R2Z2,R2Z3
A,R4W1,R3W1,R3W2
A,R4X1,R3X1,R3X2
A,R4Y1,R3Y1,R3Y2
A,R4Z1,R3Z1,R3Z2
A,R5WX,R4W1,R4X1
A,R5YZ,R4Y1,R4Z1
A,R6CH,R5WX,R5YZ
B,R1W1,W01,W16
B,R1W2,W02,W15
B,R1W3,W03,W14
B,R1W4,W04,W13
B,R1W5,W05,W12
B,R1W6,W06,W11
B,R1W7,W07,W10
B,R1W8,W08,W09
B,R1X1,X01,X16
B,R1X2,X02,X15
B,R1X3,X03,X14
B,R1X4,X04,X13
B,R1X5,X05,X12
B,R1X6,X06,X11
B,R1X7,X07,X10
B,R1X8,X08,X09
B,R1Y1,Y01,Y16
B,R1Y2,Y02,Y15
B,R1Y3,Y03,Y14
B,R1Y4,Y04,Y13
B,R1Y5,Y05,Y12
B,R1Y6,Y06,Y11
B,R1Y7,Y07,Y10
B,R1Y8,Y08,Y09
B,R1Z1,Z01,Z16
B,R1Z2,Z02,Z15
B,R1Z3,Z03,Z14
B,R1Z4,Z04,Z13
B,R1Z5,Z05,Z12
B,R1Z6,Z06,Z11
B,R1Z7,Z07,Z10
B,R1Z8,Z08,Z09
B,R2W1,R1W1,R1W8
B,R2W2,R1W2,R1W7
B,R2W3,R1W3,R1W6
B,R2W4,R1W4,R1W5
B,R2X1,R1X1,R1X8
B,R2X2,R1X2,R1X7
B,R2X3,R1X3,R1X6
B,R2X4,R1X4,R1X5
B,R2Y1,R1Y1,R1Y8
B,R2Y2,R1Y2,R1Y7
B,R2Y3,R1Y3,R1Y6
B,R2Y4,R1Y4,R1Y5
B,R2Z1,R1Z1,R1Z8
B,R2Z2,R1Z2,R1Z7
B,R2Z3,R1Z3,R1Z6
B,R2Z4,R1Z4,R1Z5
B,R3W1,R2W1,R2W4
B,R3W2,R2W2,R2W3
B,R3X1,R2X1,R2X4
B,R3X2,R2X2,R2X3
B,R3Y1,R2Y1,R2Y4
B,R3Y2,R2Y2,R2Y3
B,R3Z1,R2Z1,R2Z4
B,R3Z2,R2Z2,R2Z3
B,R4W1,R3W1,R3W2
B,R4X1,R3X1,R3X2
B,R4Y1,R3Y1,R3Y2
B,R4Z1,R3Z1,R3Z2
B,R5WX,R4W1,R4X1
B,R5YZ,R4Y1,R4Z1
B,R6CH,R5WX,R5YZ
C,R1W1,W01,W16
C,R1W2,W02,W15
C,R1W3,W03,W14
C,R1W4,W04,W13
C,R1W5,W05,W12
C,R1W6,W06,W11
C,R1W7,W07,W10
C,R1W8,W08,W09
C,R1X1,X01,X16
C,R1X2,X02,X15
C,R1X3,X03,X14
C,R1X4,X04,X13
C,R1X5,X05,X12
C,R1X6,X06,X11
C,R1X7,X07,X10
C,R1X8,X08,X09
C,R1Y1,Y01,Y16
C,R1Y2,Y02,Y15
C,R1Y3,Y03,Y14
C,R1Y4,Y04,Y13
C,R1Y5,Y05,Y12
C,R1Y6,Y06,Y11
C,R1Y7,Y07,Y10
C,R1Y8,Y08,Y09
C,R1Z1,Z01,Z16
C,R1Z2,Z02,Z15
C,R1Z3,Z03,Z14
C,R1Z4,Z04,Z13
C,R1Z5,Z05,Z12
C,R1Z6,Z06,Z11
C,R1Z7,Z07,Z10
C,R1Z8,Z08,Z09
C,R2W1,R1W1,R1W8
