"id","name"
501,"Abilene Christian"
502,"Air Force"
503,"Akron"
504,"Alabama"
505,"Alabama AM"
506,"Alabama State"
507,"Albany NY"
508,"Alcorn State"
509,"American"
510,"Appalachian State"
511,"Arizona"
512,"Arizona State"
513,"Arkansas Little Rock"
514,"Arkansas Pine Bluff"
515,"Arkansas"
516,"Arkansas State"
517,"Army"
518,"Auburn"
519,"Austin Peay"
520,"Ball State"
521,"Baylor"
522,"Belmont"
523,"Bethune-Cookman"
524,"Binghamton"
525,"Birmingham Southern"
526,"Boise State"
527,"Boston College"
528,"Boston University"
529,"Bowling Green State"
530,"Bradley"
531,"Brown"
532,"Bryant"
533,"Bucknell"
534,"Buffalo"
535,"Butler"
536,"Brigham Young"
537,"Central Michigan"
538,"Cal Poly"
539,"California"
540,"Campbell"
541,"Canisius"
542,"Central Arkansas"
543,"Centenary LA"
544,"Central Connecticut State"
545,"Charleston Southern"
546,"Charlotte"
547,"Chattanooga"
548,"Chicago State"
549,"Cincinnati"
550,"Citadel"
551,"Clemson"
552,"Cleveland State"
553,"Coastal Carolina"
554,"College of Charleston"
555,"Colgate"
556,"Colorado"
557,"Colorado State"
558,"Columbia"
559,"Connecticut"
560,"Coppin State"
561,"Cornell"
562,"Creighton"
563,"Cal State Bakersfield"
564,"Cal State Fullerton"
565,"Cal State Northridge"
566,"Sacramento State"
567,"Dartmouth"
568,"Davidson"
569,"Dayton"
570,"Delaware"
571,"Delaware State"
572,"Denver"
573,"DePaul"
574,"Detroit Mercy"
575,"Drake"
576,"Drexel"
577,"Duke"
578,"Duquesne"
579,"Eastern Illinois"
580,"Eastern Kentucky"
581,"Eastern Michigan"
582,"Eastern Washington"
583,"East Carolina"
584,"southern Illinois-Edwardsville"
585,"Elon"
586,"East Tennessee State"
587,"Evansville"
588,"Fairleigh Dickinson"
589,"Fairfield"
590,"Florida Atlantic"
591,"Florida Gulf Coast"
592,"Florida"
593,"Florida AM"
594,"Florida International"
595,"Florida State"
596,"Fordham"
597,"Fresno State"
598,"Furman"
599,"George Washington"
600,"Georgia Southern"
601,"Gardner Webb"
602,"George Mason"
603,"Georgetown"
604,"Georgia"
605,"Georgia State"
606,"Georgia Tech"
607,"Gonzaga"
608,"Grambling"
609,"Grand Canyon"
610,"Hampton"
611,"Hartford"
612,"Harvard"
613,"Hawaii"
614,"High Point"
615,"Hofstra"
616,"Holy Cross"
617,"Houston"
618,"Houston Baptist"
619,"Howard"
620,"Idaho"
621,"Idaho State"
622,"Illinois Chicago"
623,"Illinois"
624,"Illinois State"
625,"Indiana"
626,"Indiana State"
627,"Iona"
628,"Iowa"
629,"Iowa State"
630,"IPFW"
631,"IUPUI"
632,"Jackson State"
633,"Jacksonville"
634,"Jacksonville State"
635,"James Madison"
636,"Kansas"
637,"Kansas State"
638,"Kennesaw State"
639,"Kent State"
640,"Kentucky"
641,"La Salle"
642,"Lafayette"
643,"Lamar"
644,"Lehigh"
645,"Liberty"
646,"Lipscomb"
647,"Long Beach State"
648,"Long Island University"
649,"Longwood"
650,"Louisiana Tech"
651,"Louisville"
652,"Loyola Marymount"
653,"Loyola MD"
654,"Loyola IL"
655,"Louisiana State"
656,"Massachusetts Lowell"
657,"Maine"
658,"Manhattan"
659,"Marist"
660,"Marquette"
661,"Marshall"
662,"Maryland"
663,"Massachusetts"
664,"McNeese State"
665,"Maryland Eastern Shore"
666,"Memphis"
667,"Mercer"
668,"Miami FL"
